車両タイプ,積載容積_最小(m³),積載容積_最大(m³),燃費_最小(km/L),燃費_最大(km/L),燃料費_最小(円/km),燃料費_最大(円/km),運転手人件費_最小(円/km),運転手人件費_最大(円/km),高速料金_最小(円/km),高速料金_最大(円/km),タイヤ交換_最小(円/km),タイヤ交換_最大(円/km),修理費_最小(円/km),修理費_最大(円/km),作業時間人件費_最小(円/km),作業時間人件費_最大(円/km),補助員人件費_最小(円/km),補助員人件費_最大(円/km),回収容器_最小(円/km),回収容器_最大(円/km),消耗品_最小(円/km),消耗品_最大(円/km),通信費_最小(円/km),通信費_最大(円/km),マニフェスト_最小(円/km),マニフェスト_最大(円/km),処理費_最小(円/km),処理費_最大(円/km)
軽トラック,1.0,1.2,13,16,11,13,43,51,25,30,2,3,3,5,15,20,0,0,5,8,2,3,1,2,3,5,20,30
2t平ボディ,2.0,3.0,7,11,14,21,45,55,30,35,3,5,5,8,20,30,0,20,8,12,3,5,2,3,5,8,30,50
2tダンプ,1.5,2.5,6,10,15,25,45,55,30,35,3,5,5,8,20,30,0,20,5,10,3,5,2,3,5,8,25,40
4t平ボディ,6,10,5,8,19,30,50,60,40,50,5,8,8,12,25,35,20,30,10,15,5,8,2,4,8,12,50,80
4tダンプ,3,6,5,7,21,30,50,60,40,50,5,8,8,12,25,35,20,30,8,12,5,8,2,4,8,12,40,60
4tユニック,5,8,5,7,21,30,55,65,40,50,5,8,10,15,30,40,20,30,10,15,5,8,2,4,8,12,50,80
4tウイング,6,10,5,8,19,30,50,60,40,50,5,8,8,12,25,35,20,30,10,15,5,8,2,4,8,12,60,100
4tパッカー,8,10,5,7,21,30,50,60,40,50,5,8,12,18,25,35,20,30,5,10,5,8,2,4,8,12,50,70
4tアームロール,6,10,5,8,19,30,50,60,40,50,5,8,10,15,25,35,20,30,15,25,5,8,2,4,8,12,40,70
10t平ボディ,10,13,3.5,5,30,43,50,63,60,75,10,15,15,25,30,45,30,45,15,25,8,12,3,5,12,18,100,150
10tダンプ,6,10,3.5,5,30,43,50,63,60,75,10,15,15,25,30,45,30,45,10,20,8,12,3,5,12,18,80,120
10tウイング,10,13,3.5,5,30,43,50,63,60,75,10,15,15,25,30,45,30,45,15,25,8,12,3,5,12,18,120,180
大型パッカー,12,15,3.5,5,30,43,50,63,60,75,10,15,18,28,30,45,30,45,8,15,8,12,3,5,12,18,80,120
バキューム車,3,4,5,7,21,30,50,60,40,50,5,8,12,18,30,40,20,30,10,15,8,12,2,4,10,15,60,100
